frequency (Hz), f_err, volt (mV), v_err, phase (degrees), phase_err

R0b = 100kOhms

------- run 1 -------

100.0, 0.1, 1.4, 0.1, -6.0, 2.0
280.0, 1.0, 1.5, 0.1, -6.0, 2.0
460.0, 1.0, 1.5, 0.1, -6.5, 2.5
640.0, 1.0, 1.5, 0.1, -9.0, 1.0
820.0, 3.0, 1.5, 0.1, -11.0, 1.0
1000.0, 2.0, 1.4, 0.1, -13.0, 1.0
2800.0, 5.0, 1.1, 0.1, -27.5, 2.5
4600.0, 10.0, 0.9, 0.1, -31.0, 3.0
6400.0, 10.0, 0.8, 0.1, -30.0, 1.0
8200.0, 20.0, 0.7, 0.1, 0.0, 1.0
10000.0, 50.0, 0.7, 0.1, 0.0, 1.0
28000.0, 100.0, 0.6, 0.1, 0.0, 1.0
46000.0, 100.0, 0.7, 0.1, 0.0, 1.0 
64000.0, 200.0, 0.75, 0.1, 0.0, 1.0, (Would suddenly jump by +55.8)
82000.0, 200.0, 0.8, 0.12, +55.8, 2.0
10000.0, 200.0, 0.9, 0.1, +56.0, 4.0

------- run 2 -------

100.0, 0.2, 1.5, 0.1, -3.0, 1.0
280.0, 1.0, 1.5, 0.1, -5.0, 1.0
460.0, 3.0, 1.5, 0.2, -6.5, 0.5
640.0, 1.0, 1.5, 0.1, -9.0, 1.0
820.0, 1.0, 1.5, 0.1, -12.0, 2.0
1000.0, 5.0, 1.4, 0.1, -12.4, 2.0
2800.0, 10.0, 1.1, 0.1, -30.0, 3.0
4600.0, 10.0, 0.9, 0.1, -33.8, 3.0
6400.0, 10.0, 0.8, 0.1, -30.0, 1.0
8200.0, 5.0, 0.7, 0.2, 0.0, 1.0
10000.0, 20.0, 0.7, 0.2, 0.0, 1.0
28000.0, 100.0, 0.6, 0.1, 0.0, 1.0
46000.0, 100.0, 0.7, 0.1, 0.0, 1.0
64000.0, 200.0, 0.8, 0.1, 0.0, 1.0
82000.0, 200.0, 0.8, 0.1, +55.8, 3.0
10000.0, 200.0, 0.9, 0.1, +56.0, 2.0

------- run 3 -------

100.0, 0.1, 1.5, 0.1, -3.0, 1.0
280.0, 1.0, 1.5, 0.1, -5.0, 1.0
460.0, 3.0, 1.5, 0.1, -7.7, 2.0
640.0, 1.0, 1.5, 0.1, -8.0, 2.0
820.0, 1.0, 1.5, 0.1, -11.0, 2.0
1000.0, 1.0, 1.4, 0.1, -13.0, 1.0
2800.0, 10.0, 1.1, 0.1, -28.0, 2.0
4600.0, 10.0, 0.9, 0.1, -33.8, 2.0
6400.0, 10.0, 0.8, 0.1, -30.0, 1.0
8200.0, 20.0, 0.7, 0.1, 0.0, 1.0
10000.0, 20.0, 0.7, 0.1, 0.0, 1.0
28000.0, 100.0, 0.6, 0.1, 0.0, 1.0
46000.0, 200.0, 0.7, 0.1, 0.0, 1.0
64000.0, 200.0, 0.7, 0.1, 0.0, 1.0
82000.0, 200.0, 0.9, 0.1, +58.8, 3.0
10000.0, 200.0, 0.9, 0.1, +58.0, 2.0
